split,arm,J,fbsfbs_n,fbsfbs_logloss,fbsfbs_brier,fbsfbs_mae,fbsfbs_rmse,fbsfbs_winners,fbsfbs_calib_slope,fbsfbs_calib_slope_site,fbsfbs_p4g5,fbsfcs_n,fbsfcs_bias,fbsfcs_mae,fbsfcs_rmse,fbsfcs_winners,fbsfcs_logloss,fbsfcs_brier,fbsfcs_pred_sd,fbsfcs_pred_mean,fbsfcs_fcs_mean,fcsfcs_n,fcsfcs_mae,fcsfcs_rmse,fcsfcs_bias,fcsfcs_calib_slope,fcsfcs_spearman,family
dev,G10,0.484195046000042,3868,0.524916384764984,0.17639442808303,12.8181043567602,16.1738241539779,0.725439503619442,0.997464664287532,0.99862876521057,4.43748260510798,561,-0.947482455317509,13.4737458297482,16.888351411199,0.935828877005348,0.20342831098614,0.0539273761931861,11.9866388837306,28.2022501650033,-25.958614570335,2958,13.1780359014995,16.7439950862899,0.783625217052177,1.02580123605973,0.591937731192885,G
dev,G12,0.484177005262192,3868,0.524760022592705,0.176343743715414,12.8162852155606,16.1699848823893,0.72569803516029,0.997003036464635,0.998173953481475,4.41089896195095,561,0.897618847884997,13.5683738915927,16.8921810289824,0.934046345811052,0.204363973115262,0.0539448596195984,11.9732316697314,30.0473514682059,-27.7280686767461,2958,13.1673056029958,16.7252312856336,0.794602207397737,1.02943302121057,0.593115190233008,G
dev,G14,0.484540071982992,3868,0.524632213975061,0.17630375978368,12.8148505155955,16.1670525279078,0.726473629782834,0.996385029112629,0.997561011295364,4.38431531879392,561,2.7427201510875,13.7979883237988,17.0996727917592,0.934046345811052,0.208111542169587,0.054485262092784,11.9646191801294,31.8924527714084,-29.4975227831572,2958,13.158369207333,16.7085817981601,0.805579197743295,1.03261501652924,0.594275602574979,G
dev,L_expanding_n0,0.487359059944822,3868,0.524840645643187,0.176376976043359,12.8188772349202,16.1730469916487,0.726473629782834,0.997151662167459,0.998358516386474,4.42980575427782,561,0.367558588546352,14.4537866840083,18.3623967419118,0.918003565062389,0.22892987370369,0.0648518175042189,14.4231425704165,29.5172912088672,-27.174519759163,2958,13.0406191428738,16.4948641801917,0.894386677834428,1.06234575410684,0.607072529242859,L
dev,L_expanding_n20,0.483650161948091,3868,0.524773171174359,0.176354181554739,12.8170258003885,16.1710056964136,0.726473629782834,0.997183236962015,0.998364819311644,4.41870176975962,561,1.73054462240943,13.6013957511409,16.8537180967224,0.934046345811052,0.200113977122419,0.0537246440266096,12.0499322242839,30.8802772427303,-28.5256009417911,2958,13.0378576807717,16.4916154765952,0.897447641854094,1.0635617406905,0.607399562937639,L
dev,L_fixed_n0,0.48736798384736,3868,0.524840645771323,0.176376976081189,12.818877233956,16.1730469908638,0.726473629782834,0.997151662083586,0.998358516307093,4.42980575120262,561,0.380795510216086,14.4572694921241,18.3659220197724,0.918003565062389,0.229000325519565,0.0648582558450589,14.4229697306799,29.5305281305369,-27.1877566697259,2958,13.0406191531401,16.4948642014273,0.894386653575036,1.06234575203073,0.607072529242859,L
dev,L_fixed_n20,0.483672146929192,3868,0.524764102975182,0.176350994097654,12.8169156965912,16.1708751821876,0.726473629782834,0.997173766862867,0.998355471043386,4.41806958901353,561,1.79549940171483,13.6096327608982,16.8586894676838,0.934046345811052,0.200350068522968,0.0537853315651629,12.0423333895986,30.9452320220357,-28.5888380159639,2958,13.0398353791402,16.4955719455335,0.893535099426964,1.06313657955867,0.607165192519176,L
dev,L_last_n0,0.487299759413792,3868,0.524840644833983,0.176376975839127,12.8188772372554,16.1730469948011,0.726473629782834,0.997151662693834,0.998358516933913,4.42980575865346,561,0.408618092506914,14.467253532064,18.3699359125151,0.918003565062389,0.228461711632522,0.0648064811831469,14.4215380576126,29.5583507128278,-27.2155793115569,2958,13.0406191201577,16.4948641444037,0.894386718103581,1.06234575465868,0.607072529242859,L
dev,L_last_n20,0.483482988087413,3868,0.524781987375261,0.176356572101221,12.8167753492527,16.1712395139262,0.726473629782834,0.997264962059196,0.998445691910763,4.41968781921602,561,1.51503854390878,13.5950164765201,16.8579040195779,0.934046345811052,0.198733381589376,0.0533612406316792,12.0786078129098,30.6647711642296,-28.3163006516149,2958,13.0337513823181,16.4853085885252,0.903815521547969,1.06367823677324,0.607694488160567,L
dev,L_rolling3_n0,0.487349535981827,3868,0.524840645287627,0.17637697597143,12.8188772322457,16.1730469893895,0.726473629782834,0.9971516622573,0.998358516444551,4.42980575480411,561,0.342407343738586,14.4479623292962,18.3562150931199,0.918003565062389,0.228854686080158,0.0648427463702937,14.4237693798013,29.4921399640594,-27.1493685071463,2958,13.0406191265614,16.4948641464547,0.89438671463446,1.06234575661678,0.607072529242859,L
