split,arm,slice,level,n,bias,mae
cond,S4_on_G12,FBS strength (C0 quintile),FBS Q1,73,-1.83871223217477,12.4022620920534
cond,S4_on_L_last_n20,FBS strength (C0 quintile),FBS Q1,73,-0.971460134652731,12.2105968116727
cond,SR_on_L_last_n20,FBS strength (C0 quintile),FBS Q1,73,-1.2680730007524,12.1630027030585
cond,M10,FBS strength (C0 quintile),FBS Q1,73,-2.47113288986321,12.2599506667631
cond,C0,FBS strength (C0 quintile),FBS Q4,73,-12.4307729542531,14.8499672913421
cond,FLAT_on_L_last_n20,FBS strength (C0 quintile),FBS Q4,73,0.0878218535871852,12.7985764113183
cond,G12,FBS strength (C0 quintile),FBS Q4,73,-1.07512596098269,10.8569541009829
cond,L_last_n20,FBS strength (C0 quintile),FBS Q4,73,-0.306705088800784,10.8250624077584
cond,S4_on_G12,FBS strength (C0 quintile),FBS Q4,73,-1.04624083883056,11.0076987352708
cond,S4_on_L_last_n20,FBS strength (C0 quintile),FBS Q4,73,-0.544804704575776,10.8847698025213
cond,SR_on_L_last_n20,FBS strength (C0 quintile),FBS Q4,73,-0.681420884716059,10.8048542044512
cond,M10,FBS strength (C0 quintile),FBS Q4,73,-2.43077295425309,10.9003388670944
cond,C0,FBS strength (C0 quintile),FBS Q3,73,-11.8466281993265,14.8510670882422
cond,FLAT_on_L_last_n20,FBS strength (C0 quintile),FBS Q3,73,-0.922313303875532,12.9833569589911
cond,G12,FBS strength (C0 quintile),FBS Q3,73,-0.637982177869854,11.6153210585795
cond,L_last_n20,FBS strength (C0 quintile),FBS Q3,73,0.205921087625482,11.6586738579572
cond,S4_on_G12,FBS strength (C0 quintile),FBS Q3,73,-0.406821708209144,11.8514766195988
cond,S4_on_L_last_n20,FBS strength (C0 quintile),FBS Q3,73,0.217038144483044,11.9442248431104
cond,SR_on_L_last_n20,FBS strength (C0 quintile),FBS Q3,73,-0.15913661826123,11.6814783430624
cond,M10,FBS strength (C0 quintile),FBS Q3,73,-1.84662819932653,11.5934149829765
cond,C0,FBS strength (C0 quintile),FBS Q2,73,-12.2169197317367,15.7734432725858
cond,FLAT_on_L_last_n20,FBS strength (C0 quintile),FBS Q2,73,-0.720389555435085,14.751344414603
cond,G12,FBS strength (C0 quintile),FBS Q2,73,-1.09150731123928,12.892325440316
cond,L_last_n20,FBS strength (C0 quintile),FBS Q2,73,-0.0435117954018923,12.830989008999
cond,S4_on_G12,FBS strength (C0 quintile),FBS Q2,73,-0.961035908876802,13.1254420555771
cond,S4_on_L_last_n20,FBS strength (C0 quintile),FBS Q2,73,-0.269736944194316,13.1105714071556
cond,SR_on_L_last_n20,FBS strength (C0 quintile),FBS Q2,73,-0.514971296592681,12.8481576283552
cond,M10,FBS strength (C0 quintile),FBS Q2,73,-2.21691973173672,12.9232248142048
