season,week,as_of,team_id,fbs,rank,power,off,def,games_played,model_version,design_hash,feature_hash,reconstructed_at
2026,1,2026-09-07T00:00:00Z,66,TRUE,64,0.453516345418058,-1.23002538417941,-1.68354172959747,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,25,TRUE,65,-0.0215831229622134,2.1150255804074,2.13660870336962,0,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,2636,TRUE,66,-0.849029350633747,2.51127105550225,3.360300406136,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,58,TRUE,67,-0.919590511490022,-0.914772946670678,0.00481756481934387,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,2711,TRUE,68,-1.5803754241644,-3.24719518922825,-1.66681976506385,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,277,TRUE,69,-2.00792844360048,-0.694873802768232,1.31305464083224,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,2655,TRUE,70,-2.54690890455908,-6.21616140465808,-3.669252500099,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,326,TRUE,71,-2.94351268273612,1.3277511537975,4.27126383653362,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,349,TRUE,72,-3.10951421808573,-1.4893493071276,1.62016491095813,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,2348,TRUE,73,-3.17157702239984,-0.3886168724603,2.78296014993954,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,2509,TRUE,74,-3.58380126603451,-1.29606652147443,2.28773474456008,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,265,TRUE,75,-3.64919228433036,-1.96557748301879,1.68361480131157,0,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,103,TRUE,76,-3.9363956280424,-2.21304150453504,1.72335412350737,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,164,TRUE,77,-4.10240778970645,0.00256378551594907,4.1049715752224,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,24,TRUE,78,-4.6204763041414,-2.61123096028583,2.00924534385558,2,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,2439,TRUE,79,-4.63253254588348,-1.49807575251865,3.13445679336483,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,256,TRUE,80,-4.79814676775167,-5.16800062145722,-0.369853853705546,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,36,TRUE,81,-4.94486897020007,-2.94542271268711,1.99944625751296,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,151,TRUE,82,-5.16356787919266,-1.95650897958865,3.20705889960401,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,41,TRUE,83,-5.63919853320194,-2.30259603253086,3.33660250067108,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,2426,TRUE,84,-5.99810688110538,-2.80950792333065,3.18859895777474,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,2005,TRUE,85,-6.39630241738438,-4.88749772213104,1.50880469525334,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,249,TRUE,86,-6.47682251924533,-0.308062394903676,6.16876012434166,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,295,TRUE,87,-6.52595091064824,-6.10274254710613,0.423208363542115,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,2649,TRUE,88,-6.59943085314088,-4.39074727964792,2.20868357349296,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,202,TRUE,89,-7.3162446941271,-4.51153730444262,2.80470738968448,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,278,TRUE,90,-7.36157491491874,-5.95885230706478,1.40272260785396,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,2335,TRUE,91,-7.49283790234174,-5.10895306827326,2.38388483406848,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,2449,TRUE,92,-7.52913088722365,-4.87014614297911,2.65898474424454,2,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,98,TRUE,93,-7.61358923601878,-3.87781997498097,3.73576926103781,0,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,197,TRUE,94,-7.67237864602539,-5.22102755770773,2.45135108831766,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,2026,TRUE,95,-8.09456203021024,-2.51627081705076,5.57829121315948,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,167,TRUE,96,-8.25044547269017,-3.98747339593158,4.26297207675859,0,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,338,TRUE,97,-8.44902847969899,-4.71803318206867,3.73099529763032,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,195,TRUE,98,-8.71807704968756,-3.70506463505043,5.01301241463713,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,328,TRUE,99,-8.78867909302173,-3.56092579521215,5.22775329780958,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,62,TRUE,100,-8.85129596908348,-3.01268073711887,5.83861523196461,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
2026,1,2026-09-07T00:00:00Z,2032,TRUE,101,-9.5849861543894,-2.92479895918684,6.66018719520256,1,c2-post-stage4-baseline,7618cbdd33561c950c5a02344c0cd284,d5696a9e25e00eea4556f6961ecc88a7,2026-09-26T13:52:11Z
