split,slice_type,slice,comparison,A_logloss,A_mae,metric,delta,lo95,hi95,n
dev,gp_bucket,7+,A0 - A,0.528238758769007,12.7470837761077,rmse,-0.0229901779129484,-0.0604331912317177,0.0169426911393638,1478
dev,gp_bucket,7+,B - A,0.528238758769007,12.7470837761077,logloss,0.000214281670153434,-0.000501566557104653,0.000976854231350589,1478
dev,gp_bucket,7+,B - A,0.528238758769007,12.7470837761077,brier,0.00010217435009751,-0.000193165933564757,0.000427795383565885,1478
dev,gp_bucket,7+,B - A,0.528238758769007,12.7470837761077,mae,0.00994828567217928,-0.00381744115415025,0.026457826400758,1478
dev,gp_bucket,7+,B - A,0.528238758769007,12.7470837761077,rmse,0.00856798032149442,-0.00567262485788417,0.0245176561541832,1478
dev,matchup,G5-G5,A0 - A,0.555372325589304,12.8091882661352,logloss,-0.000656826615797228,-0.00331992175713044,0.00158708873881126,1449
dev,matchup,G5-G5,A0 - A,0.555372325589304,12.8091882661352,brier,-8.0338500422625e-05,-0.000987158813848091,0.000708400366890933,1449
dev,matchup,G5-G5,A0 - A,0.555372325589304,12.8091882661352,mae,0.00218845749836541,-0.0364402126349418,0.0399309273748237,1449
dev,matchup,G5-G5,A0 - A,0.555372325589304,12.8091882661352,rmse,-0.0325606663019364,-0.0808837953607572,0.0101727332380984,1449
dev,matchup,G5-G5,B - A,0.555372325589304,12.8091882661352,logloss,0.000174098128477743,-0.000388546662137656,0.000772985218536469,1449
dev,matchup,G5-G5,B - A,0.555372325589304,12.8091882661352,brier,2.36653620062869e-05,-0.000208974284827651,0.000274517561672986,1449
dev,matchup,G5-G5,B - A,0.555372325589304,12.8091882661352,mae,-0.00659494890246554,-0.0197520201593073,0.00695935975520101,1449
dev,matchup,G5-G5,B - A,0.555372325589304,12.8091882661352,rmse,-0.00303197087605867,-0.0187241121482655,0.0126340879390281,1449
dev,matchup,P4-G5,A0 - A,0.409771208143864,13.4921720787692,logloss,0.000633267467586977,-0.00168852439167111,0.00328465912429129,467
dev,matchup,P4-G5,A0 - A,0.409771208143864,13.4921720787692,brier,0.00022254651637073,-0.000763113058749416,0.00134651280598159,467
dev,matchup,P4-G5,A0 - A,0.409771208143864,13.4921720787692,mae,0.0381150695972657,-0.0272794389170804,0.108259423747705,467
dev,matchup,P4-G5,A0 - A,0.409771208143864,13.4921720787692,rmse,0.0310710482728567,-0.0362929587553364,0.10315451200579,467
dev,matchup,P4-G5,B - A,0.409771208143864,13.4921720787692,logloss,-0.000387571136366836,-0.00139938299835193,0.000551614180115566,467
dev,matchup,P4-G5,B - A,0.409771208143864,13.4921720787692,brier,-0.000129375005354973,-0.000531976916012063,0.000238736677167898,467
dev,matchup,P4-G5,B - A,0.409771208143864,13.4921720787692,mae,-0.00252297920271585,-0.030796503886127,0.021972791153985,467
dev,matchup,P4-G5,B - A,0.409771208143864,13.4921720787692,rmse,0.0028499289821653,-0.0217276817655376,0.0264115169744857,467
dev,matchup,P4-P4,A0 - A,0.543233191976236,12.6406745765852,logloss,0.00027481437614368,-0.0014184983782095,0.00190054403438293,1634
dev,matchup,P4-P4,A0 - A,0.543233191976236,12.6406745765852,brier,5.03342259808084e-05,-0.000628570541892405,0.00072757046189243,1634
dev,matchup,P4-P4,A0 - A,0.543233191976236,12.6406745765852,mae,-0.00558509526081435,-0.045281741089301,0.0330195340691791,1634
dev,matchup,P4-P4,A0 - A,0.543233191976236,12.6406745765852,rmse,-0.0110067545631942,-0.05103332077794,0.0291334052032644,1634
dev,matchup,P4-P4,B - A,0.543233191976236,12.6406745765852,logloss,4.19937351902049e-05,-0.000528057966506027,0.000628111199024034,1634
dev,matchup,P4-P4,B - A,0.543233191976236,12.6406745765852,brier,2.02442914872445e-05,-0.000214296023584046,0.000263655687243134,1634
dev,matchup,P4-P4,B - A,0.543233191976236,12.6406745765852,mae,0.0065067222392089,-0.00566874806280888,0.019135781215276,1634
dev,matchup,P4-P4,B - A,0.543233191976236,12.6406745765852,rmse,0.00951214864901573,-0.0039505379970711,0.0250598773661599,1634
dev,matchup,with independents,A0 - A,0.475843176231785,12.9784785354117,logloss,-0.00150376684405096,-0.00495007875134356,0.00183925298398124,318
dev,matchup,with independents,A0 - A,0.475843176231785,12.9784785354117,brier,-0.000571315583602003,-0.00201397682728452,0.000805259910846074,318
dev,matchup,with independents,A0 - A,0.475843176231785,12.9784785354117,mae,-0.0172372848840916,-0.0814905910405154,0.0531701734068314,318
dev,matchup,with independents,A0 - A,0.475843176231785,12.9784785354117,rmse,-0.0335060579786344,-0.0964974961045974,0.0358536255122881,318
dev,matchup,with independents,B - A,0.475843176231785,12.9784785354117,logloss,-0.000432634412174958,-0.00173212850051754,0.000856716759938451,318
dev,matchup,with independents,B - A,0.475843176231785,12.9784785354117,brier,-0.000114397961752888,-0.000649600939772409,0.000388588457135511,318
dev,matchup,with independents,B - A,0.475843176231785,12.9784785354117,mae,-0.00619541715202647,-0.0409214519628471,0.0279609266703738,318
dev,matchup,with independents,B - A,0.475843176231785,12.9784785354117,rmse,0.00143723866212397,-0.032818935617815,0.0360942603875527,318
dev,pred_margin,14-21,A0 - A,0.387047832267682,13.5026105478931,logloss,-0.000910651726442648,-0.00347467523948061,0.00151766995365711,703
dev,pred_margin,14-21,A0 - A,0.387047832267682,13.5026105478931,brier,-0.00028547547977065,-0.000968256202114842,0.000338875908986172,703
dev,pred_margin,14-21,A0 - A,0.387047832267682,13.5026105478931,mae,-0.00307712220786161,-0.0560806063596063,0.0503751749011065,703
dev,pred_margin,14-21,A0 - A,0.387047832267682,13.5026105478931,rmse,-0.0180820740214926,-0.0779778109143586,0.0368619599710076,703
dev,pred_margin,14-21,B - A,0.387047832267682,13.5026105478931,logloss,0.000346890970888321,-0.000393273751189967,0.00113328326076472,703
dev,pred_margin,14-21,B - A,0.387047832267682,13.5026105478931,brier,0.000101445844972399,-8.49437183801713e-05,0.000299944789459744,703
dev,pred_margin,14-21,B - A,0.387047832267682,13.5026105478931,mae,0.0124809521305755,-0.0096472639644279,0.0337985925313689,703
dev,pred_margin,14-21,B - A,0.387047832267682,13.5026105478931,rmse,0.011772697030807,-0.0055961882942551,0.0289606011498055,703
dev,pred_margin,21+,A0 - A,0.201426243517805,13.3000267122241,logloss,-0.000613781969124649,-0.00315298721108077,0.00178446354871667,535
dev,pred_margin,21+,A0 - A,0.201426243517805,13.3000267122241,brier,-8.03854082707375e-05,-0.00040958689432379,0.000219871937944398,535
dev,pred_margin,21+,A0 - A,0.201426243517805,13.3000267122241,mae,-0.0126304333302097,-0.0897586730681637,0.0660329524499438,535
dev,pred_margin,21+,A0 - A,0.201426243517805,13.3000267122241,rmse,-0.0738207704939029,-0.156695461714495,0.0112134468888202,535
dev,pred_margin,21+,B - A,0.201426243517805,13.3000267122241,logloss,-0.000142687787596125,-0.00101732518526427,0.000778126158165006,535
dev,pred_margin,21+,B - A,0.201426243517805,13.3000267122241,brier,-2.84780982056581e-05,-0.000130479104701168,7.87991871661195e-05,535
dev,pred_margin,21+,B - A,0.201426243517805,13.3000267122241,mae,-0.00591568402356982,-0.0278382360810839,0.0164645089559484,535
dev,pred_margin,21+,B - A,0.201426243517805,13.3000267122241,rmse,-0.00574639199994209,-0.0289153952156163,0.0186919897511909,535
dev,pred_margin,7-14,A0 - A,0.570428048765561,12.7108585709995,logloss,5.4852043108806e-05,-0.00205733723262321,0.00209192253100905,1110
dev,pred_margin,7-14,A0 - A,0.570428048765561,12.7108585709995,brier,4.64127897858282e-05,-0.000799385063424489,0.000864956016231117,1110
dev,pred_margin,7-14,A0 - A,0.570428048765561,12.7108585709995,mae,-0.00841392503972613,-0.0565644249155946,0.0381604799307993,1110
dev,pred_margin,7-14,A0 - A,0.570428048765561,12.7108585709995,rmse,-0.0113037988272602,-0.0561797261295963,0.0346662094516087,1110
dev,pred_margin,7-14,B - A,0.570428048765561,12.7108585709995,logloss,0.000173903171016211,-0.000571881898881259,0.00094681395763518,1110
dev,pred_margin,7-14,B - A,0.570428048765561,12.7108585709995,brier,7.6791465457265e-05,-0.000206842711094519,0.000375752624412237,1110
dev,pred_margin,7-14,B - A,0.570428048765561,12.7108585709995,mae,-0.0011314651046771,-0.0182852760641094,0.0154761008615396,1110
dev,pred_margin,7-14,B - A,0.570428048765561,12.7108585709995,rmse,0.00166022201697302,-0.0180045062394852,0.0236114979651671,1110
dev,pred_margin,|pred A|<7,A0 - A,0.672385538958542,12.4516276781566,logloss,0.000146393897765532,-0.00190494297745234,0.00222320967278536,1520
dev,pred_margin,|pred A|<7,A0 - A,0.672385538958542,12.4516276781566,brier,5.28051083824342e-05,-0.000938402032452706,0.00105490627868152,1520
dev,pred_margin,|pred A|<7,A0 - A,0.672385538958542,12.4516276781566,mae,0.0161995169115974,-0.0250547694626486,0.0558144010653327,1520
dev,pred_margin,|pred A|<7,A0 - A,0.672385538958542,12.4516276781566,rmse,0.00325037449931997,-0.0339096296818036,0.0412804834718592,1520
dev,pred_margin,|pred A|<7,B - A,0.672385538958542,12.4516276781566,logloss,-0.000235688433084515,-0.000949421611321794,0.000515538663838778,1520
dev,pred_margin,|pred A|<7,B - A,0.672385538958542,12.4516276781566,brier,-0.000112332612259245,-0.000454801473207206,0.000252135113569961,1520
dev,pred_margin,|pred A|<7,B - A,0.672385538958542,12.4516276781566,mae,-0.00422747558671804,-0.0186946572338843,0.0104810635314687,1520
dev,pred_margin,|pred A|<7,B - A,0.672385538958542,12.4516276781566,rmse,0.00375108977738847,-0.0116622163659571,0.0193765859346844,1520
cond,season,2023,A0 - A,0.527560003318139,12.465463659191,logloss,-0.000472634549684228,-0.00231007821104949,0.0012882817414317,792
cond,season,2023,A0 - A,0.527560003318139,12.465463659191,brier,-0.000116072618117912,-0.00087515598513938,0.000632947079834405,792
cond,season,2023,A0 - A,0.527560003318139,12.465463659191,mae,0.00530259716984406,-0.0368647973602289,0.0504308551200372,792
cond,season,2023,A0 - A,0.527560003318139,12.465463659191,rmse,-0.0266872913605116,-0.0650888724901216,0.0166966209021482,792
cond,season,2023,B - A,0.527560003318139,12.465463659191,logloss,8.44731185990474e-05,-0.00044466800808658,0.000633408532798227,792
cond,season,2023,B - A,0.527560003318139,12.465463659191,brier,3.35461657638173e-05,-0.000193441248960619,0.000265972022126798,792
cond,season,2023,B - A,0.527560003318139,12.465463659191,mae,0.00174641631145603,-0.0108281739723794,0.0141151325182833,792
cond,season,2023,B - A,0.527560003318139,12.465463659191,rmse,-0.00141745024128781,-0.0106339232484445,0.00822111652422115,792
cond,season,2024,A0 - A,0.544187730307957,12.4060971822386,logloss,0.00227839775038667,-0.000290242346192586,0.00507839561577181,798
cond,season,2024,A0 - A,0.544187730307957,12.4060971822386,brier,0.000861858549233944,-0.000196045798272552,0.00199824026126573,798
cond,season,2024,A0 - A,0.544187730307957,12.4060971822386,mae,0.0113753009270258,-0.0426852018558686,0.0703895636238164,798
cond,season,2024,A0 - A,0.544187730307957,12.4060971822386,rmse,0.0264038656418091,-0.0278877298287931,0.0829105706094721,798
cond,season,2024,B - A,0.544187730307957,12.4060971822386,logloss,0.000343215121526063,-0.000171950239288133,0.000875679519032505,798
cond,season,2024,B - A,0.544187730307957,12.4060971822386,brier,0.000149005447174907,-7.66483522768472e-05,0.000375979783072669,798
cond,season,2024,B - A,0.544187730307957,12.4060971822386,mae,0.000329842182550762,-0.0140553997396047,0.0156244455019286,798
cond,season,2024,B - A,0.544187730307957,12.4060971822386,rmse,0.00559468100827587,-0.0109811077751871,0.0220370554355694,798
cond,season,2025,A0 - A,0.519569089110978,11.9307903707363,logloss,0.00050990659482423,-0.00147816544102968,0.00222111743419147,808
cond,season,2025,A0 - A,0.519569089110978,11.9307903707363,brier,0.000358926637817991,-0.000524630281797839,0.00114961994727694,808
cond,season,2025,A0 - A,0.519569089110978,11.9307903707363,mae,0.0290617395263788,-0.0142037701130143,0.0674072200813837,808
cond,season,2025,A0 - A,0.519569089110978,11.9307903707363,rmse,0.0339294060615636,-0.0160418512842119,0.0828291008014324,808
cond,season,2025,B - A,0.519569089110978,11.9307903707363,logloss,-6.06741539298383e-05,-0.000598898253166797,0.000503859537973251,808
cond,season,2025,B - A,0.519569089110978,11.9307903707363,brier,-1.69588441512345e-05,-0.000262129713622632,0.000225773454934733,808
cond,season,2025,B - A,0.519569089110978,11.9307903707363,mae,0.00901721318752619,-0.00335622808199051,0.0206117729561003,808
cond,season,2025,B - A,0.519569089110978,11.9307903707363,rmse,0.00470394073403213,-0.00956070811052001,0.0191728862089424,808
