universe,slice_type,slice,comparison,metric,estimate,lo95,hi95,lo90,hi90,se,n
dev,gp_bucket,7+,C - I,mae,0.0191967840260112,-0.143783445212819,0.177306483368359,-0.117347878265691,0.153625751163745,0.0827350432401813,1752
dev,gp_bucket,7+,C - I,rmse,-0.0531159287740337,-0.220393899314388,0.114117358846812,-0.19433716725154,0.0869479821521463,0.0851939529864318,1752
dev,gp_bucket,7+,C - C2f,logloss,-0.000816715698694742,-0.00162098297894861,9.03673213581759e-06,-0.00148580030477502,-0.000136570727456376,0.0004104878523556,1752
dev,gp_bucket,7+,C - C2f,brier,-0.00023576852514263,-0.00057238837228027,0.000102566262853305,-0.00051228084817118,4.14471865539109e-05,0.000169017674446095,1752
dev,gp_bucket,7+,C - C2f,mae,0.003995144153416,-0.0129307669936034,0.0218039159956324,-0.01014510084104,0.0191629829818146,0.00892125957393852,1752
dev,gp_bucket,7+,C - C2f,rmse,-0.00674797486838585,-0.0253461184754448,0.0145759202559169,-0.0223620085388511,0.0106722742624062,0.0101178723449867,1752
dev,gp_bucket,7+,C2f - I,logloss,-0.00532133251243471,-0.0116214273282908,0.000858115088183474,-0.0106787786936646,-0.000164171414842496,0.00321359162991513,1752
dev,gp_bucket,7+,C2f - I,brier,-0.00229826204104114,-0.00508595670342906,0.000416892829530718,-0.00469632665818835,1.29329857951859e-05,0.00142312328247165,1752
dev,gp_bucket,7+,C2f - I,mae,0.0152016398725955,-0.14466706548493,0.172166984003781,-0.120520963307012,0.14808277900111,0.0818785489287237,1752
dev,gp_bucket,7+,C2f - I,rmse,-0.0463679539056479,-0.213153950369195,0.122347633115707,-0.188209544857228,0.0946610139240836,0.085986980453678,1752
dev,stage,gp 0-3,C - I,logloss,-0.00743182581551302,-0.0197296178011883,0.00483704762413711,-0.0175534010349369,0.00309670119308228,0.00626030973544754,1166
dev,stage,gp 0-3,C - I,brier,-0.00339520137175218,-0.00873532202560143,0.00193551395994971,-0.00787572982070575,0.00122876902780476,0.00274765478716535,1166
dev,stage,gp 0-3,C - I,mae,-0.485818237428342,-0.710899738022433,-0.239325430248645,-0.678307619100241,-0.285864919523763,0.11905534033551,1166
dev,stage,gp 0-3,C - I,rmse,-0.524283993651423,-0.829621505992497,-0.212385875481386,-0.78199976181161,-0.263955618734644,0.155439816917501,1166
dev,stage,gp 0-3,C - C2f,logloss,-0.00268353072213961,-0.00722403495744388,0.00177564425281436,-0.00641259060791858,0.000999749550564557,0.00228975878235647,1166
dev,stage,gp 0-3,C - C2f,brier,-0.000897021926214584,-0.00271687072681714,0.000888479282951212,-0.00237394119315873,0.000581627689685813,0.000913097875042795,1166
dev,stage,gp 0-3,C - C2f,mae,-0.0566368106211097,-0.131536084722717,0.0218249168811276,-0.119709665235153,0.0084348502573049,0.0391204290936951,1166
dev,stage,gp 0-3,C - C2f,rmse,-0.0917905257298344,-0.175759256755928,-0.0122014269471292,-0.160859753650063,-0.0234831752344091,0.0417648855762919,1166
dev,stage,gp 0-3,C2f - I,logloss,-0.00474829509337341,-0.0170013734032995,0.00781788468253004,-0.014927271479468,0.00588909700362471,0.00627637761249567,1166
dev,stage,gp 0-3,C2f - I,brier,-0.0024981794455376,-0.00805248663033057,0.0032191565771691,-0.00713192020605814,0.00218524434661856,0.00283017813100044,1166
dev,stage,gp 0-3,C2f - I,mae,-0.429181426807232,-0.658943718157236,-0.17771122226252,-0.623716637497813,-0.228424477535473,0.12209487958065,1166
dev,stage,gp 0-3,C2f - I,rmse,-0.432493467921589,-0.73926161395208,-0.129781912890108,-0.686717103783665,-0.177382374295759,0.155610719655678,1166
dev,stage,gp 4+,C - I,logloss,-0.00723056870705884,-0.0127820606061716,-0.00186361326099257,-0.0119811849185949,-0.0028176609266187,0.00280224298410954,2702
dev,stage,gp 4+,C - I,brier,-0.00321681135502556,-0.00554968791586072,-0.000979408563823443,-0.00516908533754957,-0.00134842775537596,0.00115782205364754,2702
dev,stage,gp 4+,C - I,mae,-0.01296891696441,-0.144969678612613,0.121578676160931,-0.123494085723036,0.0994477307528135,0.0671861498271691,2702
dev,stage,gp 4+,C - I,rmse,-0.0266927168592801,-0.156960618179568,0.104461043772457,-0.136768254179057,0.0833107883039142,0.0664351504057691,2702
dev,stage,gp 4+,C - C2f,logloss,-0.000767245111019167,-0.00153877048818268,2.42115328125969e-05,-0.00140869630833494,-0.000127181547776337,0.000391750504098406,2702
dev,stage,gp 4+,C - C2f,brier,-0.00025954093950535,-0.000570163568542695,5.21091674839408e-05,-0.000529399078345501,4.22192680497488e-06,0.000159721595059719,2702
dev,stage,gp 4+,C - C2f,mae,-0.000759074286854511,-0.0166644779133533,0.0151716823409266,-0.0138028001965272,0.0124431948520661,0.00797369802808959,2702
dev,stage,gp 4+,C - C2f,rmse,-0.0107678812448349,-0.0288146174026264,0.00782353995165943,-0.0259401893945991,0.00494334299107332,0.0092910995885371,2702
dev,stage,gp 4+,C2f - I,logloss,-0.00646332359603967,-0.0123009968264822,-0.000949197945330988,-0.0114379561870848,-0.00189584941201773,0.00289880663084893,2702
dev,stage,gp 4+,C2f - I,brier,-0.00295727041552021,-0.00537918605375523,-0.000651649732582869,-0.00499838750564592,-0.00105357403767412,0.00119419354374641,2702
dev,stage,gp 4+,C2f - I,mae,-0.0122098426775554,-0.146955969900669,0.123674088839937,-0.123744829022989,0.103186103373146,0.0683105411075949,2702
dev,stage,gp 4+,C2f - I,rmse,-0.0159248356144452,-0.152215079372704,0.1179711264884,-0.128974867838105,0.0974111181971798,0.068608672701354,2702
dev,gp_bucket_fbs_only,0,C - I,logloss,-0.0119384249846907,-0.0322440056880387,0.00787028689715092,-0.0283572411522582,0.00446437359917434,0.0099806092444767,442
dev,gp_bucket_fbs_only,0,C - I,brier,-0.003608683324164,-0.0129528937659397,0.00534759361694074,-0.0111649805958859,0.00385980101450342,0.00455064251172157,442
dev,gp_bucket_fbs_only,0,C - I,mae,-0.629124529130293,-0.959545707799136,-0.33026284191838,-0.895148198761932,-0.38115225460051,0.160008729366359,442
dev,gp_bucket_fbs_only,0,C - I,rmse,-0.763171735912902,-1.19040023821416,-0.335324183448855,-1.12491557350557,-0.408669347750919,0.216266065748346,442
dev,gp_bucket_fbs_only,0,C - C2f,logloss,-0.00616501201705042,-0.0130970648451344,0.000826993789848701,-0.0118883622504029,-0.000323912670025251,0.00354605824317524,442
dev,gp_bucket_fbs_only,0,C - C2f,brier,-0.00249082640813912,-0.0053423861622153,0.000232209674661093,-0.00485844656893104,-0.00014310808204567,0.00143431757358825,442
dev,gp_bucket_fbs_only,0,C - C2f,mae,-0.064484884649553,-0.135439130195734,0.0155757259440366,-0.124201955717238,0.000324949987869023,0.0388848779019341,442
dev,gp_bucket_fbs_only,0,C - C2f,rmse,-0.0999883978557641,-0.238933061639824,0.0375243893669104,-0.211594462610539,0.0157591519547916,0.0695962634179573,442
dev,gp_bucket_fbs_only,0,C2f - I,logloss,-0.00577341296764028,-0.0265179391270027,0.0159002390758638,-0.0229718315679719,0.0116885221471727,0.0105594755748551,442
