source,season,metric,value
portal,2025,qb_events,310
talent_composite,2026,fbs_share,0.992753623188406
talent_composite,2026,non_fbs_rows,175
talent_composite,2026,fcs_opponents_share,0.97
returning_prod,2026,off_fbs_share,1
returning_prod,2026,def_fbs_share,1
returning_prod,2026,is_estimated_true_rows,0
coaches,2026,fbs_share_with_row,1
coaches,2026,fbs_share_with_hire_date,1
coaches,2026,fbs_teams_with_2plus_coaches,0
portal,2026,events,4470
portal,2026,destination_known_share,0.780536912751678
portal,2026,rating_known_share,0.647203579418345
portal,2026,stars_known_share,0.868008948545861
portal,2026,transfer_date_known_share,1
portal,2026,entries_after_aug1_share,0.00514541387024609
portal,2026,qb_events,267
round4_feature_bundle,2015,log_talent_nonmissing_share,0.9765625
round4_feature_bundle,2016,log_talent_nonmissing_share,0.9765625
round4_feature_bundle,2017,log_talent_nonmissing_share,0.992307692307692
round4_feature_bundle,2018,log_talent_nonmissing_share,0.976923076923077
round4_feature_bundle,2019,log_talent_nonmissing_share,0.992307692307692
round4_feature_bundle,2020,log_talent_nonmissing_share,0.9921875
round4_feature_bundle,2021,log_talent_nonmissing_share,0.992307692307692
round4_feature_bundle,2022,log_talent_nonmissing_share,0.99236641221374
round4_feature_bundle,2023,log_talent_nonmissing_share,0.992481203007519
round4_feature_bundle,2024,log_talent_nonmissing_share,0.992537313432836
round4_feature_bundle,2025,log_talent_nonmissing_share,0.992647058823529
round4_feature_bundle,2026,log_talent_nonmissing_share,0.992753623188406
round4_feature_bundle,2015,blue_chip_ratio_nonmissing_share,0.9765625
round4_feature_bundle,2016,blue_chip_ratio_nonmissing_share,0.9765625
round4_feature_bundle,2017,blue_chip_ratio_nonmissing_share,0.992307692307692
round4_feature_bundle,2018,blue_chip_ratio_nonmissing_share,0.976923076923077
round4_feature_bundle,2019,blue_chip_ratio_nonmissing_share,0.992307692307692
round4_feature_bundle,2020,blue_chip_ratio_nonmissing_share,0.9921875
round4_feature_bundle,2021,blue_chip_ratio_nonmissing_share,0.992307692307692
round4_feature_bundle,2022,blue_chip_ratio_nonmissing_share,0.99236641221374
round4_feature_bundle,2023,blue_chip_ratio_nonmissing_share,0.992481203007519
round4_feature_bundle,2024,blue_chip_ratio_nonmissing_share,0.992537313432836
round4_feature_bundle,2025,blue_chip_ratio_nonmissing_share,0.992647058823529
round4_feature_bundle,2026,blue_chip_ratio_nonmissing_share,0.992753623188406
round4_feature_bundle,2015,log_recruits_nonmissing_share,0.9765625
round4_feature_bundle,2016,log_recruits_nonmissing_share,0.9765625
round4_feature_bundle,2017,log_recruits_nonmissing_share,0.992307692307692
round4_feature_bundle,2018,log_recruits_nonmissing_share,0.976923076923077
round4_feature_bundle,2019,log_recruits_nonmissing_share,0.992307692307692
round4_feature_bundle,2020,log_recruits_nonmissing_share,0.9921875
round4_feature_bundle,2021,log_recruits_nonmissing_share,0.992307692307692
round4_feature_bundle,2022,log_recruits_nonmissing_share,0.99236641221374
round4_feature_bundle,2023,log_recruits_nonmissing_share,0.992481203007519
round4_feature_bundle,2024,log_recruits_nonmissing_share,0.992537313432836
round4_feature_bundle,2025,log_recruits_nonmissing_share,0.992647058823529
round4_feature_bundle,2026,log_recruits_nonmissing_share,0.992753623188406
round4_feature_bundle,2015,off_returning_nonmissing_share,0.9921875
round4_feature_bundle,2016,off_returning_nonmissing_share,1
round4_feature_bundle,2017,off_returning_nonmissing_share,0.984615384615385
round4_feature_bundle,2018,off_returning_nonmissing_share,1
round4_feature_bundle,2019,off_returning_nonmissing_share,1
round4_feature_bundle,2020,off_returning_nonmissing_share,1
round4_feature_bundle,2021,off_returning_nonmissing_share,0.984615384615385
round4_feature_bundle,2022,off_returning_nonmissing_share,0.99236641221374
round4_feature_bundle,2023,off_returning_nonmissing_share,1
round4_feature_bundle,2024,off_returning_nonmissing_share,1
round4_feature_bundle,2025,off_returning_nonmissing_share,1
round4_feature_bundle,2026,off_returning_nonmissing_share,1
round4_feature_bundle,2015,def_returning_nonmissing_share,0
round4_feature_bundle,2016,def_returning_nonmissing_share,0
round4_feature_bundle,2017,def_returning_nonmissing_share,0.561538461538462
round4_feature_bundle,2018,def_returning_nonmissing_share,0.446153846153846
round4_feature_bundle,2019,def_returning_nonmissing_share,0.323076923076923
round4_feature_bundle,2020,def_returning_nonmissing_share,0.3515625
round4_feature_bundle,2021,def_returning_nonmissing_share,0.361538461538462
round4_feature_bundle,2022,def_returning_nonmissing_share,0.854961832061069
round4_feature_bundle,2023,def_returning_nonmissing_share,0.571428571428571
round4_feature_bundle,2024,def_returning_nonmissing_share,1
round4_feature_bundle,2025,def_returning_nonmissing_share,0.992647058823529
round4_feature_bundle,2026,def_returning_nonmissing_share,1
round4_feature_bundle,2015,log_tenure_nonmissing_share,0.96875
round4_feature_bundle,2016,log_tenure_nonmissing_share,0.984375
round4_feature_bundle,2017,log_tenure_nonmissing_share,0.969230769230769
round4_feature_bundle,2018,log_tenure_nonmissing_share,0.961538461538461
round4_feature_bundle,2019,log_tenure_nonmissing_share,0.976923076923077
round4_feature_bundle,2020,log_tenure_nonmissing_share,0.984375
round4_feature_bundle,2021,log_tenure_nonmissing_share,0.992307692307692
round4_feature_bundle,2022,log_tenure_nonmissing_share,0.99236641221374
round4_feature_bundle,2023,log_tenure_nonmissing_share,1
round4_feature_bundle,2024,log_tenure_nonmissing_share,0.970149253731343
round4_feature_bundle,2025,log_tenure_nonmissing_share,0.992647058823529
round4_feature_bundle,2026,log_tenure_nonmissing_share,1
round4_feature_bundle,2015,new_coach_nonmissing_share,0.96875
round4_feature_bundle,2016,new_coach_nonmissing_share,0.984375
round4_feature_bundle,2017,new_coach_nonmissing_share,0.969230769230769
round4_feature_bundle,2018,new_coach_nonmissing_share,0.961538461538461
round4_feature_bundle,2019,new_coach_nonmissing_share,0.976923076923077
round4_feature_bundle,2020,new_coach_nonmissing_share,0.984375
round4_feature_bundle,2021,new_coach_nonmissing_share,0.992307692307692
round4_feature_bundle,2022,new_coach_nonmissing_share,0.99236641221374
round4_feature_bundle,2023,new_coach_nonmissing_share,1
round4_feature_bundle,2024,new_coach_nonmissing_share,0.970149253731343
round4_feature_bundle,2025,new_coach_nonmissing_share,0.992647058823529
round4_feature_bundle,2026,new_coach_nonmissing_share,1
market_lines_closing,2023,games,860
market_lines_closing,2024,games,825
market_lines_closing,2025,games,928
cfp_final_top25,2018,rows,25
cfp_final_top25,2019,rows,25
cfp_final_top25,2020,rows,25
cfp_final_top25,2021,rows,25
cfp_final_top25,2022,rows,25
cfp_final_top25,2023,rows,25
cfp_final_top25,2024,rows,25
cfp_final_top25,2025,rows,25
incumbent_pred_round4_dev,2019,games,774
incumbent_pred_round4_dev,2021,games,770
incumbent_pred_round4_dev,2022,games,776
incumbent_pred_round4_cond,2023,games,792
incumbent_pred_round4_cond,2024,games,798
incumbent_pred_round4_cond,2025,games,808
round13_K_and_round6_incumbent_dev,2018,games,772
round13_K_and_round6_incumbent_dev,2019,games,774
round13_K_and_round6_incumbent_dev,2021,games,770
round13_K_and_round6_incumbent_dev,2022,games,776
round13_K_and_round6_incumbent_cond,2023,games,792
round13_K_and_round6_incumbent_cond,2024,games,798
round13_K_and_round6_incumbent_cond,2025,games,808
