split,model,gp,n,logloss,brier,mae,rmse,bias,calib_slope,pred_sd,winners
cond,C0,2,184,0.448267508898831,0.150998804746446,11.7256286178917,14.2393699433674,-0.134029890648699,1.01023550130203,16.4657733727807,0.733695652173913
cond,C0,3,185,0.498873008080699,0.168534458882516,11.6799062528736,14.7675994603626,2.15516638370661,0.959128261386298,13.704948734653,0.740540540540541
cond,C0,0-3,694,0.47043139202219,0.158282854577746,12.1870748244281,15.3693879150521,0.336271926769968,1.02897803151583,15.0855150262435,0.742074927953891
cond,C0,4-6,590,0.560826197408493,0.190788671281604,12.3318701422765,15.4451208208939,0.281159677999189,0.906444638222009,12.2312837996523,0.713559322033898
cond,C0,7+,1114,0.551646600432961,0.187873001987874,12.2793160475442,15.4801389230609,-0.096842447530207,0.985851146722813,12.0817393396257,0.710053859964093
cond,C0,all,2398,0.530400815436501,0.180026747851373,12.2655510379735,15.4395420857215,0.121507272998011,0.984504148534084,13.1846836959626,0.720183486238532
cond,C2L,0,170,0.462008214058922,0.154736511753212,12.85541446124,16.0137788128523,-0.819916905119253,1.10999041505699,14.1063910767751,0.752941176470588
cond,C2L,1,155,0.470827379975915,0.157521217528765,12.6613338425041,16.4855582637584,0.392497040978578,1.03300014069962,15.4830766296115,0.735483870967742
cond,C2L,2,184,0.449957944712754,0.151988188551812,11.7535490178876,14.2680056471731,-0.108549537666465,0.999654571239457,16.6142323968419,0.733695652173913
cond,C2L,3,185,0.496665442798119,0.167586319685433,11.671400681403,14.7671032959161,2.26795664061689,0.9576496419666,13.7464857270414,0.756756756756757
cond,C2L,0-3,694,0.47002162684594,0.158055175144587,12.2043074198124,15.3499214289517,0.462608113926372,1.02810262091949,15.1176794506546,0.744956772334294
cond,C2L,4-6,590,0.559550813849189,0.190440109371565,12.309259785225,15.429885221407,0.31482427389425,0.90432537481428,12.2878061651209,0.716949152542373
cond,C2L,7+,1114,0.550674429410006,0.187530651004472,12.2858268253359,15.4730756575946,-0.0909507842244489,0.983315982665065,12.1211033142838,0.708258527827648
cond,C2L,all,2398,0.529516807157986,0.179716055587385,12.2679998774215,15.4268951115592,0.169089732709121,0.982114345103234,13.2320925826725,0.721017514595496
cond,NP,0,170,0.653801117428528,0.230586708250618,18.6562814857189,23.3241410580862,-7.27735814201848,1.1382832569016,1.79193807659652,0.611764705882353
cond,NP,1,155,0.557445566383906,0.18844713538284,16.4990132541469,21.4378312717224,-5.64482374368542,1.98917475112637,5.74643261546236,0.67741935483871
